2022,sunrise time,Zenith,FW Sunset,Day length,Astronomical twilight start,Nautical twilight start,Civil twilight start,Civil twilight end,Nautical twilight end,Astronomical twilight end,
27-Jun,4:30 AM,1:24 PM,10:18 PM,17:48:07,−0:44,—,11:25 PM,4:30 AM,10:18 PM,3:23 AM,—
28-Jun,4:31 AM,1:24 PM,10:18 PM,17:47:16,−0:51,—,11:24 PM,4:31 AM,10:18 PM,3:24 AM,—
29-Jun,4:31 AM,1:25 PM,10:18 PM,17:46:15,−1:01,—,11:24 PM,4:31 AM,10:18 PM,3:25 AM,—
30-Jun,4:32 AM,1:25 PM,10:17 PM,17:45:08,−1:07,—,11:23 PM,4:32 AM,10:17 PM,3:26 AM,—
01-Jul,4:33 AM,1:25 PM,10:17 PM,17:43:52,−1:16,—,11:23 PM,4:33 AM,10:17 PM,3:27 AM,—
02-Jul,4:34 AM,1:25 PM,10:16 PM,17:42:29,−1:23,—,11:22 PM,4:34 AM,10:16 PM,3:29 AM,—
03-Jul,4:35 AM,1:25 PM,10:16 PM,17:40:58,−1:31,—,11:21 PM,4:35 AM,10:16 PM,3:30 AM,—
04-Jul,4:36 AM,1:25 PM,10:15 PM,17:39:19,−1:39,—,11:20 PM,4:36 AM,10:15 PM,3:31 AM,—
05-Jul,4:37 AM,1:26 PM,10:14 PM,17:37:34,−1:45,—,11:19 PM,4:37 AM,10:14 PM,3:33 AM,—
06-Jul,4:38 AM,1:26 PM,10:14 PM,17:35:41,−1:53,—,11:17 PM,4:38 AM,10:14 PM,3:34 AM,—
07-Jul,4:39 AM,1:26 PM,10:13 PM,17:33:41,−2:00,—,11:16 PM,4:39 AM,10:13 PM,3:36 AM,—
08-Jul,4:40 AM,1:26 PM,10:12 PM,17:31:34,−2:07,—,11:15 PM,4:40 AM,10:12 PM,3:38 AM,—
09-Jul,4:42 AM,1:26 PM,10:11 PM,17:29:20,−2:14,—,11:13 PM,4:42 AM,10:11 PM,3:39 AM,—
10-Jul,4:43 AM,1:26 PM,10:10 PM,17:27:00,−2:20,—,11:12 PM,4:43 AM,10:10 PM,3:41 AM,—
11-Jul,4:44 AM,1:27 PM,10:09 PM,17:24:33,−2:27,—,11:10 PM,4:44 AM,10:09 PM,3:43 AM,—
12-Jul,4:46 AM,1:27 PM,10:08 PM,17:22:00,−2:33,—,11:08 PM,4:46 AM,10:08 PM,3:45 AM,—
13-Jul,4:47 AM,1:27 PM,10:06 PM,17:19:22,−2:38,—,11:07 PM,4:47 AM,10:06 PM,3:47 AM,—
14-Jul,4:49 AM,1:27 PM,10:05 PM,17:16:37,−2:45,—,11:05 PM,4:49 AM,10:05 PM,3:49 AM,—
15-Jul,4:50 AM,1:27 PM,10:04 PM,17:13:47,−2:50,—,11:03 PM,4:50 AM,10:04 PM,3:51 AM,—
16-Jul,4:52 AM,1:27 PM,10:03 PM,17:10:51,−2:56,—,11:01 PM,4:52 AM,10:03 PM,3:53 AM,—
17-Jul,4:53 AM,1:27 PM,10:01 PM,17:07:50,−3:01,—,10:59 PM,4:53 AM,10:01 PM,3:55 AM,—
18-Jul,4:55 AM,1:27 PM,10:00 PM,17:04:44,−3:06,1:06 AM,1:49 AM,4:55 AM,10:00 PM,1:06 AM,1:49 AM
19-Jul,4:57 AM,1:27 PM,9:58 PM,17:01:33,−3:11,12:54 AM,2:00 AM,4:57 AM,9:58 PM,12:54 AM,2:00 AM
20-Jul,4:58 AM,1:27 PM,9:57 PM,16:58:17,−3:16,12:46 AM,2:09 AM,4:58 AM,9:57 PM,12:46 AM,2:09 AM
21-Jul,5:00 AM,1:27 PM,9:55 PM,16:54:57,−3:20,12:39 AM,2:16 AM,5:00 AM,9:55 PM,12:39 AM,2:16 AM
22-Jul,5:02 AM,1:28 PM,9:53 PM,16:51:31,−3:26,12:32 AM,2:23 AM,5:02 AM,9:53 PM,12:32 AM,2:23 AM
23-Jul,5:04 AM,1:28 PM,9:52 PM,16:48:02,−3:29,12:26 AM,2:29 AM,5:04 AM,9:52 PM,12:26 AM,2:29 AM
24-Jul,5:05 AM,1:28 PM,9:50 PM,16:44:30,−3:32,12:20 AM,2:35 AM,5:05 AM,9:50 PM,12:20 AM,2:35 AM
25-Jul,5:07 AM,1:28 PM,9:48 PM,16:40:53,−3:37,12:15 AM,2:40 AM,5:07 AM,9:48 PM,12:15 AM,2:40 AM
26-Jul,5:09 AM,1:28 PM,9:46 PM,16:37:12,−3:41,12:10 AM,2:45 AM,5:09 AM,9:46 PM,12:10 AM,2:45 AM
27-Jul,5:11 AM,1:28 PM,9:44 PM,16:33:28,−3:44,12:05 AM,2:50 AM,5:11 AM,9:44 PM,12:05 AM,2:50 AM
28-Jul,5:13 AM,1:28 PM,9:42 PM,16:29:40,−3:48,12:01 AM,2:55 AM,5:13 AM,9:42 PM,12:01 AM,2:55 AM
29-Jul,5:15 AM,1:28 PM,9:41 PM,16:25:49,−3:51,11:56 PM,2:59 AM,5:15 AM,9:41 PM,11:56 PM,2:59 AM
30-Jul,5:17 AM,1:28 PM,9:39 PM,16:21:55,−3:54,11:52 PM,3:04 AM,5:17 AM,9:39 PM,11:52 PM,3:04 AM
31-Jul,5:19 AM,1:28 PM,9:37 PM,16:17:59,−3:56,11:47 PM,3:08 AM,5:19 AM,9:37 PM,11:47 PM,3:08 AM
01-Aug,5:21 AM,1:28 PM,9:35 PM,16:13:58,−4:01,11:43 PM,3:12 AM,5:21 AM,9:35 PM,11:43 PM,3:12 AM
02-Aug,5:23 AM,1:27 PM,9:32 PM,16:09:56,−4:02,11:39 PM,3:16 AM,5:23 AM,9:32 PM,11:39 PM,3:16 AM
03-Aug,5:25 AM,1:27 PM,9:30 PM,16:05:51,−4:05,11:35 PM,3:20 AM,5:25 AM,9:30 PM,11:35 PM,3:20 AM
04-Aug,5:26 AM,1:27 PM,9:28 PM,16:01:44,−4:07,11:31 PM,3:24 AM,5:26 AM,9:28 PM,11:31 PM,3:24 AM
05-Aug,5:28 AM,1:27 PM,9:26 PM,15:57:34,−4:10,11:27 PM,3:28 AM,5:28 AM,9:26 PM,11:27 PM,3:28 AM
06-Aug,5:31 AM,1:27 PM,9:24 PM,15:53:21,−4:13,11:23 PM,3:32 AM,5:31 AM,9:24 PM,11:23 PM,3:32 AM
07-Aug,5:33 AM,1:27 PM,9:22 PM,15:49:07,−4:14,11:19 PM,3:35 AM,5:33 AM,9:22 PM,11:19 PM,3:35 AM
08-Aug,5:35 AM,1:27 PM,9:19 PM,15:44:52,−4:15,11:15 PM,3:39 AM,5:35 AM,9:19 PM,11:15 PM,3:39 AM
09-Aug,5:37 AM,1:27 PM,9:17 PM,15:40:33,−4:19,11:11 PM,3:42 AM,5:37 AM,9:17 PM,11:11 PM,3:42 AM
10-Aug,5:39 AM,1:27 PM,9:15 PM,15:36:14,−4:19,11:08 PM,3:46 AM,5:39 AM,9:15 PM,11:08 PM,3:46 AM
11-Aug,5:41 AM,1:27 PM,9:13 PM,15:31:52,−4:22,11:04 PM,3:49 AM,5:41 AM,9:13 PM,11:04 PM,3:49 AM
12-Aug,5:43 AM,1:26 PM,9:10 PM,15:27:29,−4:23,1:50 AM,3:53 AM,5:43 AM,9:10 PM,11:00 PM,1:02 AM
13-Aug,5:45 AM,1:26 PM,9:08 PM,15:23:04,−4:25,2:06 AM,3:56 AM,5:45 AM,9:08 PM,10:57 PM,12:47 AM
14-Aug,5:47 AM,1:26 PM,9:05 PM,15:18:39,−4:25,2:17 AM,3:59 AM,5:47 AM,9:05 PM,10:53 PM,12:35 AM
15-Aug,5:49 AM,1:26 PM,9:03 PM,15:14:11,−4:28,2:26 AM,4:03 AM,5:49 AM,9:03 PM,10:49 PM,12:26 AM
16-Aug,5:51 AM,1:26 PM,9:01 PM,15:09:43,−4:28,2:34 AM,4:06 AM,5:51 AM,9:01 PM,10:46 PM,12:18 AM
17-Aug,5:53 AM,1:26 PM,8:58 PM,15:05:13,−4:30,2:41 AM,4:09 AM,5:53 AM,8:58 PM,10:42 PM,12:10 AM
18-Aug,5:55 AM,1:25 PM,8:56 PM,15:00:41,−4:32,2:47 AM,4:12 AM,5:55 AM,8:56 PM,10:39 PM,12:03 AM
19-Aug,5:57 AM,1:25 PM,8:53 PM,14:56:09,−4:32,2:53 AM,4:15 AM,5:57 AM,8:53 PM,10:35 PM,11:57 PM
20-Aug,5:59 AM,1:25 PM,8:51 PM,14:51:36,−4:33,2:59 AM,4:18 AM,5:59 AM,8:51 PM,10:32 PM,11:51 PM
21-Aug,6:01 AM,1:25 PM,8:48 PM,14:47:02,−4:34,3:04 AM,4:21 AM,6:01 AM,8:48 PM,10:28 PM,11:45 PM
22-Aug,6:03 AM,1:24 PM,8:46 PM,14:42:27,−4:35,3:09 AM,4:24 AM,6:03 AM,8:46 PM,10:25 PM,11:39 PM
23-Aug,6:05 AM,1:24 PM,8:43 PM,14:37:53,−4:34,3:14 AM,4:27 AM,6:05 AM,8:43 PM,10:21 PM,11:34 PM
24-Aug,6:07 AM,1:24 PM,8:41 PM,14:33:16,−4:37,3:19 AM,4:30 AM,6:07 AM,8:41 PM,10:18 PM,11:29 PM
25-Aug,6:09 AM,1:24 PM,8:38 PM,14:28:38,−4:38,3:23 AM,4:33 AM,6:09 AM,8:38 PM,10:15 PM,11:24 PM
26-Aug,6:11 AM,1:23 PM,8:35 PM,14:24:01,−4:37,3:28 AM,4:36 AM,6:11 AM,8:35 PM,10:11 PM,11:19 PM
27-Aug,6:13 AM,1:23 PM,8:33 PM,14:19:22,−4:39,3:32 AM,4:38 AM,6:13 AM,8:33 PM,10:08 PM,11:14 PM
28-Aug,6:15 AM,1:23 PM,8:30 PM,14:14:43,−4:39,3:36 AM,4:41 AM,6:15 AM,8:30 PM,10:04 PM,11:10 PM
29-Aug,6:17 AM,1:23 PM,8:28 PM,14:10:03,−4:40,3:40 AM,4:44 AM,6:17 AM,8:28 PM,10:01 PM,11:05 PM
30-Aug,6:20 AM,1:22 PM,8:25 PM,14:05:23,−4:40,3:44 AM,4:47 AM,6:20 AM,8:25 PM,9:58 PM,11:01 PM
31-Aug,6:22 AM,1:22 PM,8:22 PM,14:00:42,−4:41,3:48 AM,4:49 AM,6:22 AM,8:22 PM,9:55 PM,10:56 PM
01-Sep,6:24 AM,1:22 PM,8:20 PM,13:56:01,−4:41,3:51 AM,4:52 AM,6:24 AM,8:20 PM,9:51 PM,10:52 PM
02-Sep,6:26 AM,1:21 PM,8:17 PM,13:51:20,−4:41,3:55 AM,4:55 AM,6:26 AM,8:17 PM,9:48 PM,10:48 PM
03-Sep,6:28 AM,1:21 PM,8:14 PM,13:46:37,−4:43,3:58 AM,4:57 AM,6:28 AM,8:14 PM,9:45 PM,10:44 PM
04-Sep,6:30 AM,1:21 PM,8:12 PM,13:41:55,−4:42,4:02 AM,5:00 AM,6:30 AM,8:12 PM,9:41 PM,10:40 PM
05-Sep,6:32 AM,1:20 PM,8:09 PM,13:37:13,−4:42,4:05 AM,5:02 AM,6:32 AM,8:09 PM,9:38 PM,10:35 PM
06-Sep,6:34 AM,1:20 PM,8:06 PM,13:32:30,−4:43,4:08 AM,5:05 AM,6:34 AM,8:06 PM,9:35 PM,10:32 PM
07-Sep,6:36 AM,1:20 PM,8:03 PM,13:27:46,−4:44,4:12 AM,5:07 AM,6:36 AM,8:03 PM,9:32 PM,10:28 PM
08-Sep,6:38 AM,1:19 PM,8:01 PM,13:23:02,−4:44,4:15 AM,5:10 AM,6:38 AM,8:01 PM,9:29 PM,10:24 PM
09-Sep,6:40 AM,1:19 PM,7:58 PM,13:18:18,−4:44,4:18 AM,5:12 AM,6:40 AM,7:58 PM,9:26 PM,10:20 PM
10-Sep,6:42 AM,1:19 PM,7:55 PM,13:13:35,−4:43,4:21 AM,5:15 AM,6:42 AM,7:55 PM,9:22 PM,10:16 PM
11-Sep,6:44 AM,1:18 PM,7:53 PM,13:08:50,−4:45,4:24 AM,5:17 AM,6:44 AM,7:53 PM,9:19 PM,10:13 PM
12-Sep,6:46 AM,1:18 PM,7:50 PM,13:04:05,−4:45,4:27 AM,5:19 AM,6:46 AM,7:50 PM,9:16 PM,10:09 PM
13-Sep,6:48 AM,1:17 PM,7:47 PM,12:59:21,−4:44,4:30 AM,5:22 AM,6:48 AM,7:47 PM,9:13 PM,10:05 PM
14-Sep,6:50 AM,1:17 PM,7:44 PM,12:54:35,−4:46,4:32 AM,5:24 AM,6:50 AM,7:44 PM,9:10 PM,10:02 PM
15-Sep,6:52 AM,1:17 PM,7:42 PM,12:49:51,−4:44,4:35 AM,5:27 AM,6:52 AM,7:42 PM,9:07 PM,9:58 PM
16-Sep,6:54 AM,1:16 PM,7:39 PM,12:45:05,−4:46,4:38 AM,5:29 AM,6:54 AM,7:39 PM,9:04 PM,9:55 PM
17-Sep,6:56 AM,1:16 PM,7:36 PM,12:40:20,−4:45,4:41 AM,5:31 AM,6:56 AM,7:36 PM,9:01 PM,9:51 PM
18-Sep,6:58 AM,1:16 PM,7:33 PM,12:35:34,−4:46,4:44 AM,5:33 AM,6:58 AM,7:33 PM,8:58 PM,9:48 PM
19-Sep,7:00 AM,1:15 PM,7:31 PM,12:30:49,−4:45,4:46 AM,5:36 AM,7:00 AM,7:31 PM,8:55 PM,9:44 PM
20-Sep,7:02 AM,1:15 PM,7:28 PM,12:26:03,−4:46,4:49 AM,5:38 AM,7:02 AM,7:28 PM,8:52 PM,9:41 PM
21-Sep,7:04 AM,1:14 PM,7:25 PM,12:21:17,−4:46,4:51 AM,5:40 AM,7:04 AM,7:25 PM,8:49 PM,9:38 PM
22-Sep,7:06 AM,1:14 PM,7:22 PM,12:16:31,−4:46,4:54 AM,5:42 AM,7:06 AM,7:22 PM,8:46 PM,9:34 PM
23-Sep,7:08 AM,1:14 PM,7:20 PM,12:11:45,−4:46,4:56 AM,5:45 AM,7:08 AM,7:20 PM,8:43 PM,9:31 PM
24-Sep,7:10 AM,1:13 PM,7:17 PM,12:07:00,−4:45,4:59 AM,5:47 AM,7:10 AM,7:17 PM,8:40 PM,9:28 PM
25-Sep,7:12 AM,1:13 PM,7:14 PM,12:02:14,−4:46,5:01 AM,5:49 AM,7:12 AM,7:14 PM,8:37 PM,9:25 PM
26-Sep,7:14 AM,1:13 PM,7:11 PM,11:57:27,−4:47,5:04 AM,5:51 AM,7:14 AM,7:11 PM,8:34 PM,9:21 PM
27-Sep,7:16 AM,1:12 PM,7:09 PM,11:52:41,−4:46,5:06 AM,5:53 AM,7:16 AM,7:09 PM,8:31 PM,9:18 PM
28-Sep,7:18 AM,1:12 PM,7:06 PM,11:47:55,−4:46,5:09 AM,5:56 AM,7:18 AM,7:06 PM,8:28 PM,9:15 PM
29-Sep,7:20 AM,1:12 PM,7:03 PM,11:43:09,−4:46,5:11 AM,5:58 AM,7:20 AM,7:03 PM,8:26 PM,9:12 PM
30-Sep,7:22 AM,1:11 PM,7:00 PM,11:38:24,−4:45,5:13 AM,6:00 AM,7:22 AM,7:00 PM,8:23 PM,9:09 PM
01-Oct,7:24 AM,1:11 PM,6:58 PM,11:33:37,−4:47,5:16 AM,6:02 AM,7:24 AM,6:58 PM,8:20 PM,9:06 PM
02-Oct,7:26 AM,1:11 PM,6:55 PM,11:28:52,−4:45,5:18 AM,6:04 AM,7:26 AM,6:55 PM,8:17 PM,9:03 PM
03-Oct,7:28 AM,1:10 PM,6:52 PM,11:24:06,−4:46,5:20 AM,6:06 AM,7:28 AM,6:52 PM,8:14 PM,9:00 PM
04-Oct,7:30 AM,1:10 PM,6:50 PM,11:19:20,−4:46,5:23 AM,6:08 AM,7:30 AM,6:50 PM,8:12 PM,8:57 PM
05-Oct,7:32 AM,1:10 PM,6:47 PM,11:14:34,−4:46,5:25 AM,6:10 AM,7:32 AM,6:47 PM,8:09 PM,8:54 PM
06-Oct,7:34 AM,1:09 PM,6:44 PM,11:09:49,−4:45,5:27 AM,6:12 AM,7:34 AM,6:44 PM,8:06 PM,8:51 PM
07-Oct,7:37 AM,1:09 PM,6:42 PM,11:05:03,−4:46,5:29 AM,6:15 AM,7:37 AM,6:42 PM,8:04 PM,8:49 PM
08-Oct,7:39 AM,1:09 PM,6:39 PM,11:00:18,−4:45,5:32 AM,6:17 AM,7:39 AM,6:39 PM,8:01 PM,8:46 PM
09-Oct,7:41 AM,1:08 PM,6:36 PM,10:55:34,−4:44,5:34 AM,6:19 AM,7:41 AM,6:36 PM,7:58 PM,8:43 PM
10-Oct,7:43 AM,1:08 PM,6:34 PM,10:50:49,−4:45,5:36 AM,6:21 AM,7:43 AM,6:34 PM,7:56 PM,8:40 PM
11-Oct,7:45 AM,1:08 PM,6:31 PM,10:46:04,−4:45,5:38 AM,6:23 AM,7:45 AM,6:31 PM,7:53 PM,8:38 PM
12-Oct,7:47 AM,1:08 PM,6:28 PM,10:41:20,−4:44,5:40 AM,6:25 AM,7:47 AM,6:28 PM,7:50 PM,8:35 PM
13-Oct,7:49 AM,1:07 PM,6:26 PM,10:36:36,−4:44,5:42 AM,6:27 AM,7:49 AM,6:26 PM,7:48 PM,8:32 PM
14-Oct,7:51 AM,1:07 PM,6:23 PM,10:31:53,−4:43,5:45 AM,6:29 AM,7:51 AM,6:23 PM,7:45 PM,8:30 PM
15-Oct,7:53 AM,1:07 PM,6:21 PM,10:27:09,−4:44,5:47 AM,6:31 AM,7:53 AM,6:21 PM,7:43 PM,8:27 PM
16-Oct,7:55 AM,1:07 PM,6:18 PM,10:22:27,−4:42,5:49 AM,6:33 AM,7:55 AM,6:18 PM,7:40 PM,8:25 PM
17-Oct,7:58 AM,1:07 PM,6:15 PM,10:17:45,−4:42,5:51 AM,6:35 AM,7:58 AM,6:15 PM,7:38 PM,8:22 PM
18-Oct,8:00 AM,1:06 PM,6:13 PM,10:13:03,−4:42,5:53 AM,6:37 AM,8:00 AM,6:13 PM,7:36 PM,8:20 PM
19-Oct,8:02 AM,1:06 PM,6:10 PM,10:08:21,−4:42,5:55 AM,6:39 AM,8:02 AM,6:10 PM,7:33 PM,8:17 PM
20-Oct,8:04 AM,1:06 PM,6:08 PM,10:03:40,−4:41,5:57 AM,6:41 AM,8:04 AM,6:08 PM,7:31 PM,8:15 PM
21-Oct,8:06 AM,1:06 PM,6:05 PM,09:59:01,−4:39,5:59 AM,6:43 AM,8:06 AM,6:05 PM,7:28 PM,8:12 PM
22-Oct,8:08 AM,1:06 PM,6:03 PM,09:54:22,−4:39,6:01 AM,6:45 AM,8:08 AM,6:03 PM,7:26 PM,8:10 PM
23-Oct,8:11 AM,1:05 PM,6:00 PM,09:49:43,−4:39,6:03 AM,6:47 AM,8:11 AM,6:00 PM,7:24 PM,8:08 PM
24-Oct,8:13 AM,1:05 PM,5:58 PM,09:45:04,−4:39,6:05 AM,6:49 AM,8:13 AM,5:58 PM,7:22 PM,8:06 PM
25-Oct,8:15 AM,1:05 PM,5:55 PM,09:40:28,−4:36,6:07 AM,6:51 AM,8:15 AM,5:55 PM,7:19 PM,8:03 PM
26-Oct,8:17 AM,1:05 PM,5:53 PM,09:35:52,−4:36,6:09 AM,6:53 AM,8:17 AM,5:53 PM,7:17 PM,8:01 PM
27-Oct,8:19 AM,1:05 PM,5:51 PM,09:31:16,−4:36,6:11 AM,6:55 AM,8:19 AM,5:51 PM,7:15 PM,7:59 PM
28-Oct,8:22 AM,1:05 PM,5:48 PM,09:26:42,−4:34,6:13 AM,6:57 AM,8:22 AM,5:48 PM,7:13 PM,7:57 PM
29-Oct,8:24 AM,1:05 PM,5:46 PM,09:22:09,−4:33,6:15 AM,6:59 AM,8:24 AM,5:46 PM,7:11 PM,7:55 PM
30-Oct,8:26 AM,1:05 PM,5:44 PM,09:17:37,−4:32,6:17 AM,7:01 AM,8:26 AM,5:44 PM,7:09 PM,7:53 PM
31-Oct,8:28 AM,1:05 PM,5:41 PM,09:13:06,−4:31,6:19 AM,7:03 AM,8:28 AM,5:41 PM,7:07 PM,7:51 PM
01-Nov,8:30 AM,1:05 PM,5:39 PM,09:08:37,−4:29,6:21 AM,7:05 AM,8:30 AM,5:39 PM,7:05 PM,7:49 PM
02-Nov,8:33 AM,1:05 PM,5:37 PM,09:04:09,−4:28,6:23 AM,7:07 AM,8:33 AM,5:37 PM,7:03 PM,7:47 PM
03-Nov,8:35 AM,1:05 PM,5:35 PM,08:59:43,−4:26,6:25 AM,7:09 AM,8:35 AM,5:35 PM,7:01 PM,7:45 PM
04-Nov,8:37 AM,1:05 PM,5:32 PM,08:55:19,−4:24,6:27 AM,7:11 AM,8:37 AM,5:32 PM,6:59 PM,7:43 PM
05-Nov,8:39 AM,1:05 PM,5:30 PM,08:50:56,−4:23,6:28 AM,7:13 AM,8:39 AM,5:30 PM,6:57 PM,7:41 PM
06-Nov,8:42 AM,1:05 PM,5:28 PM,08:46:35,−4:21,6:30 AM,7:15 AM,8:42 AM,5:28 PM,6:55 PM,7:39 PM
07-Nov,8:44 AM,1:05 PM,5:26 PM,08:42:16,−4:19,6:32 AM,7:16 AM,8:44 AM,5:26 PM,6:53 PM,7:38 PM
08-Nov,8:46 AM,1:05 PM,5:24 PM,08:37:59,−4:17,6:34 AM,7:18 AM,8:46 AM,5:24 PM,6:52 PM,7:36 PM
09-Nov,8:48 AM,1:05 PM,5:22 PM,08:33:44,−4:15,6:36 AM,7:20 AM,8:48 AM,5:22 PM,6:50 PM,7:34 PM
10-Nov,8:50 AM,1:05 PM,5:20 PM,08:29:32,−4:12,6:38 AM,7:22 AM,8:50 AM,5:20 PM,6:48 PM,7:33 PM
11-Nov,8:53 AM,1:05 PM,5:18 PM,08:25:22,−4:10,6:39 AM,7:24 AM,8:53 AM,5:18 PM,6:47 PM,7:31 PM
12-Nov,8:55 AM,1:05 PM,5:16 PM,08:21:14,−4:08,6:41 AM,7:26 AM,8:55 AM,5:16 PM,6:45 PM,7:30 PM
13-Nov,8:57 AM,1:06 PM,5:14 PM,08:17:10,−4:04,6:43 AM,7:28 AM,8:57 AM,5:14 PM,6:44 PM,7:28 PM
14-Nov,8:59 AM,1:06 PM,5:12 PM,08:13:09,−4:01,6:45 AM,7:29 AM,8:59 AM,5:12 PM,6:42 PM,7:27 PM
15-Nov,9:01 AM,1:06 PM,5:11 PM,08:09:10,−3:59,6:47 AM,7:31 AM,9:01 AM,5:11 PM,6:41 PM,7:25 PM
16-Nov,9:04 AM,1:06 PM,5:09 PM,08:05:14,−3:56,6:48 AM,7:33 AM,9:04 AM,5:09 PM,6:39 PM,7:24 PM
17-Nov,9:06 AM,1:06 PM,5:07 PM,08:01:22,−3:52,6:50 AM,7:35 AM,9:06 AM,5:07 PM,6:38 PM,7:23 PM
18-Nov,9:08 AM,1:07 PM,5:05 PM,07:57:34,−3:48,6:52 AM,7:37 AM,9:08 AM,5:05 PM,6:37 PM,7:22 PM
19-Nov,9:10 AM,1:07 PM,5:04 PM,07:53:49,−3:45,6:53 AM,7:38 AM,9:10 AM,5:04 PM,6:35 PM,7:20 PM
20-Nov,9:12 AM,1:07 PM,5:02 PM,07:50:08,−3:41,6:55 AM,7:40 AM,9:12 AM,5:02 PM,6:34 PM,7:19 PM
21-Nov,9:14 AM,1:07 PM,5:01 PM,07:46:30,−3:38,6:56 AM,7:42 AM,9:14 AM,5:01 PM,6:33 PM,7:18 PM
22-Nov,9:16 AM,1:08 PM,4:59 PM,07:42:58,−3:32,6:58 AM,7:43 AM,9:16 AM,4:59 PM,6:32 PM,7:17 PM
23-Nov,9:18 AM,1:08 PM,4:58 PM,07:39:30,−3:28,7:00 AM,7:45 AM,9:18 AM,4:58 PM,6:31 PM,7:16 PM
24-Nov,9:20 AM,1:08 PM,4:56 PM,07:36:06,−3:24,7:01 AM,7:47 AM,9:20 AM,4:56 PM,6:30 PM,7:15 PM
25-Nov,9:22 AM,1:08 PM,4:55 PM,07:32:47,−3:19,7:03 AM,7:48 AM,9:22 AM,4:55 PM,6:29 PM,7:14 PM
26-Nov,9:24 AM,1:09 PM,4:53 PM,07:29:33,−3:14,7:04 AM,7:50 AM,9:24 AM,4:53 PM,6:28 PM,7:13 PM
27-Nov,9:26 AM,1:09 PM,4:52 PM,07:26:24,−3:09,7:06 AM,7:51 AM,9:26 AM,4:52 PM,6:27 PM,7:12 PM
28-Nov,9:28 AM,1:09 PM,4:51 PM,07:23:22,−3:02,7:07 AM,7:53 AM,9:28 AM,4:51 PM,6:26 PM,7:12 PM
29-Nov,9:30 AM,1:10 PM,4:50 PM,07:20:24,−2:58,7:08 AM,7:54 AM,9:30 AM,4:50 PM,6:25 PM,7:11 PM
30-Nov,9:31 AM,1:10 PM,4:49 PM,07:17:32,−2:52,7:10 AM,7:56 AM,9:31 AM,4:49 PM,6:24 PM,7:10 PM
01-Dec,9:33 AM,1:10 PM,4:48 PM,07:14:46,−2:46,7:11 AM,7:57 AM,9:33 AM,4:48 PM,6:24 PM,7:10 PM
02-Dec,9:35 AM,1:11 PM,4:47 PM,07:12:07,−2:39,7:13 AM,7:59 AM,9:35 AM,4:47 PM,6:23 PM,7:09 PM
03-Dec,9:36 AM,1:11 PM,4:46 PM,07:09:33,−2:34,7:14 AM,8:00 AM,9:36 AM,4:46 PM,6:23 PM,7:09 PM
04-Dec,9:38 AM,1:12 PM,4:45 PM,07:07:06,−2:27,7:15 AM,8:01 AM,9:38 AM,4:45 PM,6:22 PM,7:08 PM
05-Dec,9:40 AM,1:12 PM,4:44 PM,07:04:47,−2:19,7:16 AM,8:02 AM,9:40 AM,4:44 PM,6:22 PM,7:08 PM
06-Dec,9:41 AM,1:12 PM,4:44 PM,07:02:34,−2:13,7:17 AM,8:04 AM,9:41 AM,4:44 PM,6:21 PM,7:07 PM
07-Dec,9:43 AM,1:13 PM,4:43 PM,07:00:28,−2:06,7:19 AM,8:05 AM,9:43 AM,4:43 PM,6:21 PM,7:07 PM
08-Dec,9:44 AM,1:13 PM,4:42 PM,06:58:29,−1:59,7:20 AM,8:06 AM,9:44 AM,4:42 PM,6:20 PM,7:07 PM
09-Dec,9:45 AM,1:14 PM,4:42 PM,06:56:38,−1:51,7:21 AM,8:07 AM,9:45 AM,4:42 PM,6:20 PM,7:07 PM
10-Dec,9:47 AM,1:14 PM,4:42 PM,06:54:55,−1:43,7:22 AM,8:08 AM,9:47 AM,4:42 PM,6:20 PM,7:06 PM
11-Dec,9:48 AM,1:15 PM,4:41 PM,06:53:19,−1:36,7:23 AM,8:09 AM,9:48 AM,4:41 PM,6:20 PM,7:06 PM
12-Dec,9:49 AM,1:15 PM,4:41 PM,06:51:51,−1:28,7:24 AM,8:10 AM,9:49 AM,4:41 PM,6:20 PM,7:06 PM
13-Dec,9:50 AM,1:15 PM,4:41 PM,06:50:32,−1:19,7:25 AM,8:11 AM,9:50 AM,4:41 PM,6:20 PM,7:06 PM
14-Dec,9:51 AM,1:16 PM,4:41 PM,06:49:21,−1:11,7:25 AM,8:12 AM,9:51 AM,4:41 PM,6:20 PM,7:06 PM
15-Dec,9:52 AM,1:16 PM,4:41 PM,06:48:18,−1:03,7:26 AM,8:13 AM,9:52 AM,4:41 PM,6:20 PM,7:07 PM
16-Dec,9:53 AM,1:17 PM,4:41 PM,06:47:23,−0:55,7:27 AM,8:14 AM,9:53 AM,4:41 PM,6:20 PM,7:07 PM
17-Dec,9:54 AM,1:17 PM,4:41 PM,06:46:38,−0:45,7:28 AM,8:14 AM,9:54 AM,4:41 PM,6:20 PM,7:07 PM
18-Dec,9:55 AM,1:18 PM,4:41 PM,06:46:00,−0:38,7:28 AM,8:15 AM,9:55 AM,4:41 PM,6:20 PM,7:07 PM
19-Dec,9:56 AM,1:18 PM,4:41 PM,06:45:32,−0:28,7:29 AM,8:16 AM,9:56 AM,4:41 PM,6:21 PM,7:08 PM
